source_record_id,txid,scenario_family,scenario_instance_id,ground_truth_role,label_strength,expected_signals,expected_pattern_kind,contamination_note
R00013460,9143b58fe7725d635381e78606dad8accceebda7bf96f17646dd0e7751ea88a4,A,,background,weak,,none,
R00013461,d9ca71f3e922d141c26ca5350b527af08beddfe9241f33e885f4a8768e06a5a1,A,,background,weak,,none,
R00013462,af8085a59f385c049a3c76636e9e5ec11c550228b6767c6c61324208a86aa9bd,A,,background,weak,,none,
R00013463,0087411f1e1259bc43518536c4edc5a50ddc3c8cad07300bf47e9e651b5117cb,A,,background,weak,,none,
R00013464,3072d46ca5d82ef41c05e7199766c47b9ef9a3ee440f3cd9297bd07d257b5ab2,A,,background,weak,,none,
R00013465,03859e4cf799723475873123b51e0e2f5eb63f64354876ad390c85e349db387c,A,,background,weak,,none,
R00013466,c2e89f409b2577d28bcf32045f58313692d6e6d47f4ad9d2c0b4195987f0ab4d,A,,background,weak,,none,
R00013467,c2a512217132e81dd966e985b573685ad785dfbf0fe9d65e026316e5d655d48f,A,,background,weak,,none,
R00013468,a6e3554477afe22e2d3ca9f9503d253be92afeeac65663ffaa3ee34638747bcc,A,,background,weak,,none,
R00013469,131b452081ae309d4a3bc10eb2c230d2e7121fbdd7971b6b50afb30dd6c2ea25,A,,background,weak,,none,
R00013470,5c003610d01956b719c4cd1f6585ae0cda9416bf9e32f9845ec2dcb9c3eaff1f,A,,background,weak,,none,
R00013471,481b40615cc3095b9632df90c11f8e8bd7a3d3cf453efd00c5e46762fa54cb6b,A,,background,weak,,none,
R00013472,17c758a4e9fbc8378bdec717439b24b3836ba67417aaa4865030901fc62f4dbb,A,,background,weak,,none,
R00013473,af8085a59f385c049a3c76636e9e5ec11c550228b6767c6c61324208a86aa9bd,A,,background,weak,,none,
R00013474,a6ae7a5fe5e0d2cf54a79b61e2ebbbb16a15a70f3520525c22d92925eae11acb,A,,background,weak,,none,
R00013475,4c4e6a078ab24b9686e2df9c2eace1d97ee827a287fcc7f6d61caaa75ee756a4,A,,background,weak,,none,
R00013476,6f7d61d84a31179f70aa609acc8ef932ab2c2e596bd84a65cf4c56f5b4ce3b02,A,,background,weak,,none,
R00013477,c79f0c44aaecb27a182bc0d6375ebe32f98b9bca60955a7f70412fe2b86b0c02,A,,background,weak,,none,
R00013478,9ba3fe78155d44937fc5ac794d5d89ac1ac6855b76d20640298cc39cba38e0ee,A,,background,weak,,none,
R00013479,b75630313f1bdaf078aed95b3b88314cff3da7475bdde0a8831c2014ec3776e5,A,,background,weak,,none,
R00013480,3b65b7eb1dcd600de262f176a00721a635ad81aa2218af199194cbae1c71c97d,A,,background,weak,,none,
R00013481,4f8ad7389b5331df797c7e71fdfd27b3b8ebeca99e8174d18eb6aed3e4d20cf1,A,,background,weak,,none,
R00013482,bbd4724cf969f883cfb64f947331f9df091f74b34758cd04a3b120db086179be,A,,background,weak,,none,
R00013483,2321b3b4aae96cd5cc2ad9d2ef61f8c3e094cfbfb6fdf2cec40eb38c30143b8d,A,,background,weak,,none,
R00013484,6a013dc45d9543790abe65e069dd65079a6a5e8ffc397d29a5042b532a697808,A,,background,weak,,none,
R00013485,c834161f60625e1d377215922b0bdc62e4f41157b07a841744ddf5a4cc0bcfa2,A,,background,weak,,none,
R00013486,0599216032c40bfc99da9756afa0f369904bf0953fc1071fb257ea5ce9c49306,A,,background,weak,,none,
R00013487,c0f8581c1332f974787c9f9a510ff07a7d96070fb1619f90db6aacc083f8f4e2,A,,background,weak,,none,
R00013488,e65ff0f057325d76129ff072ae507975c7f2cca2d70fcb5f87bd853e91895cf4,A,,background,weak,,none,
R00013489,88b3f43b8f004f6c75d4b7275da962ca1dae10fdc97bac66dec38f0d9cdd48ba,A,,background,weak,,none,
R00013490,dfaaa659142e3b1f481efa75c1b6722a4fce3cbd28d48bd60ac9dc750244738c,A,,background,weak,,none,
R00013491,603ea482bc1db5a20645d0de54ce46eeb5c2582e741474388c8f509766857a3b,A,,background,weak,,none,
R00013492,6547f5ef482b60342da96c2cec785e113889812e9831391095e49f8ed18adf58,A,,background,weak,,none,
R00013493,6c9a60ef7138cc55d2dc9923388d75166c01da224af3e500244db5cb7c25a2ef,A,,background,weak,,none,
R00013494,0ddd3ed6936bb02f1327d52783052235d6168a78a32ef5c105644efdb83018c1,A,,background,weak,,none,
R00013495,34efc2981d247e542d9167c7ef75b0a4e5df3d4720173fd3ba81cd1bd99889e8,A,,background,weak,,none,
R00013496,3df1a8271a52ecc88ab3ca2131b4adb5e227588d27e1cc623503fa484fffe445,A,,background,weak,,none,
R00013497,319fa81565afc2849a49369c2e5214907893e218f53783987019fb6043b9f395,A,,background,weak,,none,
R00013498,7b5dce6c65db72489bb967a33e83d4ffb5ef03e3e26a3b52fc4315a9cf73a73e,A,,background,weak,,none,
R00013499,fd74f1c0809a4a42d3e0bcf1c492b0140ca30a19d1e96429764ef081062b86da,A,,background,weak,,none,
R00013500,030ab36d6aff64c6d4fc108c384f1b1f664b12cf5493cef8cf4f19299e6c7332,A,,background,weak,,none,
R00013501,a57900204d705889c1381ff7ce539f7e6fcb291542443ee9c130a4b44bb31480,A,,background,weak,,none,
R00013502,72bde1cae0e20f428effa321e591fddfb2b71937ee8e33e910055c53147c0289,A,,background,weak,,none,
R00013503,4d92a44ab4a6b1881e71e848cf87c46d882ec3b7d7f414e479558da774bfb667,A,,background,weak,,none,
R00013504,bae9d10d8138d38f657257b402fe9df2c26da25400b9ffae4157d8d6b5da4c14,A,,background,weak,,none,
R00013505,d6d98479e461e2a41e81f7f4434cff863168e7d1f9b2b02c561fcba2a4520124,A,,background,weak,,none,
R00013506,77c2fd411948440e7cf16b6f29f50e31e69138b710a9acd1a74faa7babf58c2b,A,,background,weak,,none,
R00013507,520f783875f99fd984e705b4083c7babb8195b5ae4bd793f68aa157421cf5212,A,,background,weak,,none,
R00013508,ba972791b6c1d8bffba1b42b1ddcde474af9ba57430d962091e4625dac9aa544,A,,background,weak,,none,
R00013509,083738dacd563dbff3c00765668a51cd6e2dfae7d4d255ac84d4231f3f11713d,A,,background,weak,,none,
R00013510,2912296215caba9defad0cc5cb3b6e2fbe0fb62a13653bbe88bc29037e951b17,A,,background,weak,,none,
R00013511,97e46fa9e8ccdf72f032cfac9ee73f40b511d12303719fc052f93fb8f99c786f,A,,background,weak,,none,
R00013512,54809a9cc7da957d0f23180f1e8a4c15e70ff734367bfed1bf9ab0ea0c17db16,A,,background,weak,,none,
R00013513,7be03712bda35eec6e9e3b06dd312b041f927600a965b1593323160ff51b8115,A,,background,weak,,none,
R00013514,70ca665342a5e776704621d3553f84d418e7a173fd9dd305d8677e2d8f4c45c3,A,,background,weak,,none,
R00013515,d8ea4d5442a62a3d91cb1e3ea99bec895d04f1253d9a432a37cb7b5a78daa593,A,,background,weak,,none,
R00013516,f141a9c4a0e47629b974b47e6419fbde0eb3697f5c146a5d6df90d17eaa9d044,A,,background,weak,,none,
R00013517,186ece1cbdc128c7265212dcc6e69dfe6cf9dc00f903e2ccfaac59c65f6d9a24,C,C-10,scenario_core,strong,"flow,temporal",multi_hop,
R00013518,7d0affd3073b480c5194fc6d7450aa39dfe1f1b4fe636cbb36e1359900a6f371,A,,background,weak,,none,
R00013519,55d2256579f591bd5e046cd719cf7eb33e4fd584dac8f0478f6c9cd8c1817e8d,A,,background,weak,,none,
R00013520,a4d76913c13428c6527f5fcea2a7fb0865be5843066dbdcc080dc24ea3ba94e3,A,,background,weak,,none,
R00013521,d45b223ff35303e37ed60fdeefe21f35d3400e2f3558889c48801de7d8eb30c5,A,,background,weak,,none,
R00013522,39de57826fab702785d05af7689314d86664c7ea09cc6d3e9bcf58f40945c178,C,C-10,scenario_core,strong,"flow,temporal",multi_hop,
R00013523,cac9c2dff44a8d9882b808b2c94e2d3abf136036b652baa591846e319529a943,A,,background,weak,,none,
R00013524,3020337745b832f7bf9d8f9c2b13387c30b0854afedc47d27a5df9cb29779eab,A,,background,weak,,none,
R00013525,2a44213c16f773a5e998f3cab435452072fc0f96be128a385cab1ad648acb7a1,A,,background,weak,,none,
R00013526,265ac27d711f53a99b32b6be9b848dd2ae3c1fdd88b1bd3add0bba16f20187dc,C,C-10,scenario_core,strong,"flow,temporal",multi_hop,
R00013527,7f1391eefcd0f056923b2e1d36e743cca37683ba70ffe94493efb63416d4493f,A,,background,weak,,none,
R00013528,509351d14f886a2cbfa9f6147cd3b7030f50e4c87f6860d9223515a45ae412b8,A,,background,weak,,none,
R00013529,9c7a077ebac46a056176e9340338815ffd17d68638e92abd4f3b86621ce4081d,A,,background,weak,,none,
R00013530,6ce94ed4e98f772907094ee823f230cfd4bc1bdb83b16a2953813f10af1e510e,A,,background,weak,,none,
R00013531,d98b5219137e6da2c0980a8974a83fc7906d07be89113b6b5eaa2495f657013a,A,,background,weak,,none,
R00013532,b6fff2c4c7a35f832b2de611ee4a05f2926cee990fbbd320b3fdacc37b7b1b16,C,C-10,scenario_core,strong,"flow,temporal",multi_hop,
R00013533,77f28eb2d1d77624017e1386db50257f94f219bb025edc23672994e561bec5dd,A,,background,weak,,none,
R00013534,1ce00eaa451883aa2b2838a1bb893f7268733346379b1428ab229b21fb628b51,C,C-10,scenario_core,strong,"flow,temporal",multi_hop,
R00013535,501aacb24a988e6a271add0b6ffa99328ed094a05a3b8363e6d77d79a28f25ec,C,C-10,scenario_core,strong,"flow,temporal",multi_hop,
R00013536,1f5c7d091bfeb48feb282a49ee3609f037172f1f30380140682c3de8dad8dabe,A,,background,weak,,none,
R00013537,55ea0af18588e0cb122fd836dc3748508d5b758a6c4d75287c5f2dcafe595323,A,,background,weak,,none,
R00013538,ccc9990d89156999ac37004e59ec2380b8123abeac77871519488aab2064bbc0,A,,background,weak,,none,
R00013539,946df392eb47fc837fbe1d1be3256a8c734335e97bdff4f68ff61a507b94899f,A,,background,weak,,none,
R00013540,856f56cefab27512e604fac9733ef5c2272cd5f72600a9dadf67ad3fb5fd9873,A,,background,weak,,none,
R00013541,f8721052c82c88691cfdc45a9e3549db5916eb8407ff0190a8c384b0738e2fd8,A,,background,weak,,none,
R00013542,d708610568a0525d14962c6948afc4105660314b3b1fc1a6ae0c9ad74cedef7e,A,,background,weak,,none,
R00013543,027ba509b4d4e54e5e0dc5909ab10bf1da404ecfc53fb2a4504dff6f0d81f8e2,A,,background,weak,,none,
R00013544,3171fd564e35cfeb998aca1f355e98cf6406707a325fd594bf63b317488b434c,A,,background,weak,,none,
R00013545,4b013bcd4d378691a1d33008db2782a2a1c61ddb790eea73c562a55f74f34b97,A,,background,weak,,none,
R00013546,8a5b1a37c9dd49c2dc7468d4feca98c63162aee8d66ae70a54e8451731d99fa0,A,,background,weak,,none,
R00013547,a7c3f3356aa8c25ae3b99e530f68405e909b792ccdcf36e82c0855bc5492864b,A,,background,weak,,none,
R00013548,d51ddb2f9afeed4b37804bbcec7692719d7d627953e626f9fbcf05d66ea2275f,A,,background,weak,,none,
R00013549,6f547ae5781a232c6bc5286934e4efd44a1d8df27738c48f7cf24fc8af295c62,A,,background,weak,,none,
R00013550,ee84a61a6fc3c98cfcb10123c7d9f890e45ad2fdbb95f006763b4bf9dfadf2ac,A,,background,weak,,none,
R00013551,a4e846ac564d33f2a5a9dfb260ee512062a3d61638154fcda45d5ea0b3bf1848,A,,background,weak,,none,
R00013552,c2b3f3feb6092f6e55542d4f0c179fd96edecd10971efd7bb24da6f046ceef47,A,,background,weak,,none,
R00013553,e2868fe870d8cacfc3b5a690950c37a13d47459ede5e69526b8354c652da0859,A,,background,weak,,none,
R00013554,ee84a61a6fc3c98cfcb10123c7d9f890e45ad2fdbb95f006763b4bf9dfadf2ac,A,,background,weak,,none,
R00013555,4bee0dbcd3168a223762f0dfc160d6a86e5f0e2d7609e743cba554caddc3f6d8,A,,background,weak,,none,
R00013556,0d60b78234adf24dc83a0bed1cdf5fb2677515a075b4ace0dbd5ccde5a863049,A,,background,weak,,none,
R00013557,ac0ca3c5c20e617925cf888090e6ca09874757fc07a903a9b0ca74aae9eb167a,A,,background,weak,,none,
R00013558,058ca25dc10c34d40a8ab203fb8ca53e808d9bbeb6586c2a071cac893bae73df,A,,background,weak,,none,
R00013559,1a36eb4e5c693c6ac469d28d5bb40e576affa5038ef531978e24dcf5f7974018,A,,background,weak,,none,
R00013560,46362536f3ac57284a0afc180b20b91413b28bac3751bfc40a38028d98715bb3,A,,background,weak,,none,
R00013561,46362536f3ac57284a0afc180b20b91413b28bac3751bfc40a38028d98715bb3,A,,background,weak,,none,
R00013562,c2b3f3feb6092f6e55542d4f0c179fd96edecd10971efd7bb24da6f046ceef47,A,,background,weak,,none,
R00013563,cc08a8dd9b6b5a02cbfdaf637d33a30f317ce25ca477ff705d08ec7a45a3ce79,A,,background,weak,,none,
R00013564,cc08a8dd9b6b5a02cbfdaf637d33a30f317ce25ca477ff705d08ec7a45a3ce79,A,,background,weak,,none,
R00013565,89c77abf4f84efaf194a1356a48c08d27ebf62ad9f495de487b53eb392d23d71,H,H-04,scenario_core,weak,graph,none,
R00013566,f0282cf8dd92da43124f03b2e7eb763ade404c9dc4db347c0ec940d63ebde0bb,A,,background,weak,,none,
R00013567,c5df148be3670404dd5748c622c33c7f0d8ae9b27d712997dddfc97107985f89,A,,background,weak,,none,
R00013568,1da54d82cc28c23d1c3771d87a42ddf926ba4d0c371581826dc1089a4507a379,A,,background,weak,,none,
R00013569,a4c3dbc9f4d0f4d91d9ec4c799fe4ae887bb9e754c7e46e14f8bb406de8730d3,A,,background,weak,,none,
R00013570,8750c412d160a9469a5ae09d766de03ffd8405592bf262a18f03459d0f5a7ce0,A,,background,weak,,none,
R00013571,fa6461029f5c54087fcc71867d42703f254029500effda05b799c1148f697db6,A,,background,weak,,none,
R00013572,849415a0575777918c6fb832d5e22af1d4f00d654c64dd989978fd640db9aa89,A,,background,weak,,none,
R00013573,75c9e7b5550ee91bbc32cde2aef54591ef80a038fd083c9c1614690012290e6b,A,,background,weak,,none,
R00013574,4633380ea7b3c6906c42020c55da98c5a0b298bae8c664072e00e6714b4f34f6,A,,background,weak,,none,
R00013575,8f2db0a51853586a3f2bd6651514af5e12eae03421f8d9e6494f923d0c070c9d,A,,background,weak,,none,
R00013576,dfb8a1600314a8524f80f1533db9b906fc856d88f63675fc952671e86bc12ec9,A,,background,weak,,none,
R00013577,53dfd229b227d904175f40148743da34a151c7618590297a398c936222ba079e,A,,background,weak,,none,
R00013578,e1baf835df66feafd53a89fb02750ec9ff11fab2049c34d3fa6a3bd914886e52,H,H-03,scenario_core,weak,graph,none,
R00013579,d35645013eadadfdaa4e496211a24b39ef8685fe59f8f6e383dbd7f1c90a721e,A,,background,weak,,none,
R00013580,f64f99381df9f57941593bb1ce05a8dce1436cdc25ab6dd8ef776d365ca88800,A,,background,weak,,none,
R00013581,a17e8d583a197dc219f154502221c916002becfe8a1d11f6947e07adc37ac0f7,A,,background,weak,,none,
R00013582,3bc21fa8243286bc114f34ddaa1e9249ada98a52c21b6f72459491ee3abc9b56,A,,background,weak,,none,
R00013583,139151f9ce12d0f834c45f846a7389637dc94d6d3a36b74e9669da3cd278244b,A,,background,weak,,none,
R00013584,9883d921b8875c32355e24c0c41791ed81a84e78626c6de209834d3bfca0a519,A,,background,weak,,none,
R00013585,89083f53a6f473e6d1d47a4cfdf0a8b5da81b0c4d3288a02b75541a43abb37fe,A,,background,weak,,none,
R00013586,4356cefde60d2bf82ebdfe28d140042394f0f77714024aa8115ca355b988b86a,A,,background,weak,,none,
R00013587,c49420a3cff8fbd3e80e21c7775ff69a0acd966214bd4d332896dc2b210a6438,A,,background,weak,,none,
R00013588,9907c61d64f02193a213884ebd80eb235d91e00a431b1317f2d7e458fa13acbf,C,C-10,scenario_core,strong,"flow,temporal",multi_hop,
R00013589,cfa5159b7ed556b1166df0bfb37e44af0f84c254572b7d084e33ab8b70c4a3ad,A,,background,weak,,none,
R00013590,5ee2ba4fffe00a5d752f3c5c857756f63cbd998ee3ae737969167575aea0f7c1,A,,background,weak,,none,
R00013591,c5578cd4eec775e7e768d6ce1e7f50240cdb03ecc6a562aeb655827a183a6d80,A,,background,weak,,none,
R00013592,de76517e8b07c3f66372aa48e5cf10f861bbc24b0bf26c295ae4115f43c1ca2a,A,,background,weak,,none,
R00013593,242b3c64e2b53aa5ffbc8f47e86440f0347afe02d2bfc87af30261c29bad4145,A,,background,weak,,none,
R00013594,cef678caace580c7cebb549cdefb24518a4e1ccd80e86523a0626c7c1a28df24,A,,background,weak,,none,
R00013595,a12c846ba580490128adf4b247b7dbdbcfe8144d23a7825cc98642972fef394b,A,,background,weak,,none,
R00013596,62434bb949c1ec5e1eedf8159aefc067c42d4b5d1d191d1fc0e563c7437066dd,C,C-10,scenario_core,strong,"flow,temporal",multi_hop,
R00013597,8a15e8f5504c3505e5621124a1e24a9b4bc14de891dd509f3e2c73dd7148fc48,A,,background,weak,,none,
R00013598,23d61f1e2af6877a69d09f5570d276aab42227376963a8a97ea16d19c0a6c6bf,A,,background,weak,,none,
R00013599,9569324311eebd6afaa3cf943a85d6fba332b02de7201f1873b5b4967ae75e08,A,,background,weak,,none,
R00013600,8be0693c20ac7e4f84e2ba94a476cbd94a8f7b27d92727813d89d9d5a612ee6a,A,,background,weak,,none,
R00013601,0ad9c0c2f60d656798f148f0409e87d417a4d740dbc2e15ba0b3d3989aa22efa,A,,background,weak,,none,
R00013602,2c66f380d01d83f719732c2c7a2084a4c25276658aa73cd576bc573f9e21cd8a,A,,background,weak,,none,
R00013603,7d7b8f8816df330c0b8bfcbd38504b464ea5e354308c7dd165e0e35e7fae1304,A,,background,weak,,none,
R00013604,94c41280c213244ea5cc983c50dccb9ab9d3311f49fe24c2b35e69db0c26a5aa,A,,background,weak,,none,
R00013605,40a94991198c7714b7206448f10e3ef536d5ca8ef7cbccd1fcc1586f95439d63,A,,background,weak,,none,
R00013606,08b2e5dba5aa2ebec3fd2f20b6cdae0f77e15e5d9665e83d2e394eb94ab4ec6b,A,,background,weak,,none,
R00013607,42d7db85a5f92c7c89b3c1a389b9d6a67dc1943387410bb1f61161ceb36a6ef0,A,,background,weak,,none,
R00013608,11a56ad60ae76756a984dc593e7a6f12b6e8c31de6d961c1762a12f00d95c9bc,A,,background,weak,,none,
R00013609,21e41abe8ff0b2221f6ca9603f5ab48dda78756d05afc0ff4b78a916edfa983f,H,H-04,scenario_core,weak,graph,none,
R00013610,e73af92d9d99a7bfefdba0a4c2326b7d022d3df4ea454c15cbe85d6992f5ecda,A,,background,weak,,none,
R00013611,cc654afae3bba36d8508c789de68e90ea30671e8d204f204911840222190b994,A,,background,weak,,none,
R00013612,2afe74cbdbe08e45fae6f6289ad2973bbc85386332b88fef1d67c804fdc97ab2,C,C-10,scenario_core,strong,"flow,temporal",multi_hop,
R00013613,8bcfe4e505443e1d22ba96c0de9092740a3bfc531ca6530406900b6a2412199e,A,,background,weak,,none,
R00013614,cced3caccc7532b4591df7bef269707483437f4a19ee7a54f7809f4f33c6ec2b,A,,background,weak,,none,
R00013615,c5309586b001e255cffd9b70c1b38a8ed43dfc82bd88cc1a7f6b3446945eb322,A,,background,weak,,none,
R00013616,30a01128810beba50cb61eab33bde78cebd0d91ca1b4bbcbb62d1f3f0257d89e,A,,background,weak,,none,
R00013617,58ff68475e7e6e09c4db99aeb358e568a0ed887247960e2c5ab2f453e4a64b4d,A,,background,weak,,none,
R00013618,d889a2425ef7147eaaa62ac660fb266f0685e29aceedc3e508d7a0b9ea128b66,A,,background,weak,,none,
R00013619,7959f46ce55764f549df8ff9a4ee8f581510a1663291fc9b905c7105972307c5,A,,background,weak,,none,
R00013620,abdad628fc0efac29581918ca53fbe3e5d7347848e715bea9b5c4c105cfbcbd4,A,,background,weak,,none,
R00013621,d08b723a73b1307903cde8b331976d94cb448d92608859227c62210984b2ed7c,C,C-10,scenario_core,strong,"flow,temporal",multi_hop,
R00013622,92e5cdfef040d30087a2ab01d990fc0d3d0a4e6fd5f8cb71d51fd6b22d286ee2,A,,background,weak,,none,
R00013623,06a2aa84933688d477a6d16c98ce4046e365c239d7f8c8d2481c8754753558e3,A,,background,weak,,none,
R00013624,17b14c1d2926ce35c78b201af3eea3e3f953f301e54ce5ece55dcb9237221087,A,,background,weak,,none,
R00013625,c9cf23b623269b45dab3351244ee9faf6a83789ef7ec93c63c72bdc4233c9c83,A,,background,weak,,none,
R00013626,e5070f52e7a2dd2f12ecfb4b2e46837badc308cf5039d43e99a16e8336ba2908,A,,background,weak,,none,
R00013627,b6c835caff97a2a15fb0bdd8455f11b51d59b6d1650ef4aa7f5084c8bc105b7f,A,,background,weak,,none,
R00013628,e99b3aa3750856cfc13f195017289febe98987c6aed0e43a2e75f9239092d9e8,A,,background,weak,,none,
R00013629,758ab45de72697eba8ba2375c5b22c0e9bb1f67ddaa312b903297c1e39149be2,A,,background,weak,,none,
R00013630,3a4b6e970eb96cf74f8b93ec709e660f3537720722b27cfed15bd16670ebaae7,A,,background,weak,,none,
R00013631,73422961a594eb91d3a32f4f8524a5e4448beb57b2445f1f63363bdbddbabadc,A,,background,weak,,none,
R00013632,446623d7830972b41aa61bd8a89d800698abbe928785c8c5fd08e814cf185b8e,C,C-10,scenario_core,strong,"flow,temporal",multi_hop,
R00013633,3a4b6e970eb96cf74f8b93ec709e660f3537720722b27cfed15bd16670ebaae7,A,,background,weak,,none,
R00013634,2b464c6f8404296f862d5496efabfb8372ff12262fe363f504e41696c8f02fcb,A,,background,weak,,none,
R00013635,779683ea38dc9c37ceb7a53b8611205f7521fb6c9e8c844f5216fbf883d2d646,C,C-10,scenario_core,strong,"flow,temporal",multi_hop,
R00013636,ea92ad56331eb5edfb90ac37c6e97c733012eb765317c715e48e541d371b90a4,A,,background,weak,,none,
R00013637,1d494a16914cc3f2ddaef25a0417479c013e06d5c98aae09127618934c576ab1,A,,background,weak,,none,
R00013638,fd9a1202e689997dfd3e8ac4ca6bee9d69be8234e2152bf946f9eaf65dcfe113,A,,background,weak,,none,
R00013639,e9d0531f271ac516d68ae43c7ea2d65fe52852571e312580c48ed059b3ed2ecb,A,,background,weak,,none,
R00013640,93e211ab446a698f6735f72fb855fee02e457db988b8692d876fcc766e94a7d3,A,,background,weak,,none,
R00013641,f314e5c8e65a4a6945d325cd78c684727cd16538a521986e920f92ec6739168e,A,,background,weak,,none,
R00013642,f747ce1870431d5052f822f631c1b508c1fe9be3bef5efce3bf69ac1992896bf,A,,background,weak,,none,
R00013643,bd4d7913b1d0f010615bd1f18ec06a39f478fdc6fa8578cbd30f307a3e2d6908,A,,background,weak,,none,
R00013644,e4ab55e69c94169049d1097b1c2394b7be454d464818f91337491b47a78d595b,A,,background,weak,,none,
R00013645,fc0eeac23c07ff883e44a18d64990e76cfcbd62b4ce4394ce33fda9a68691488,A,,background,weak,,none,
R00013646,ada32aa197f08d94e73b2aa463fab22dd2df452580be6a7693ee818e807b575d,A,,background,weak,,none,
R00013647,7cfc7d6cb971548112c4689b48cd592a989b668c31013f54d26da3363e178225,A,,background,weak,,none,
R00013648,8b1425f53d25a1194030c7eb545164722ec8a16f1f3166c2d617bf0629733ec4,A,,background,weak,,none,
R00013649,83975716b3316e2931acf2539e12c730d46da72a34ad02e03eb1911365899247,A,,background,weak,,none,
R00013650,f2919a89c2915dc8f3d8ab3bc0acd720699d262d9a7f5b17962e3b87645a1a30,A,,background,weak,,none,
R00013651,3a28e9927c4221976b4514bbd03b501fe33f10b2f83407e8bf58c6fabbd7ea0e,A,,background,weak,,none,
R00013652,0cbc63ba56e5c8a722275c104d82e05f42559d1357ab9f5f41de35592d299cb7,A,,background,weak,,none,
R00013653,314b32e07f095a12267a4a40530a0e768c3151156e57ef0eda50235885ea33c4,A,,background,weak,,none,
R00013654,e9d3363ab141b9ca1a6e04bdecb8906bd932e05373709eee142f9078a1759ed9,A,,background,weak,,none,
R00013655,938055d1f7ee484affc272c79a031850a71f2c52bd364e9ddfd2a485a507e634,A,,background,weak,,none,
R00013656,d86d5b456355cfa2cdb5a2be69dd877b166bc90b97b0b1d3feae025d702ec6f6,A,,background,weak,,none,
R00013657,685bdedd0fc3280cae676a3ef44f8c9653c3d1dcd873d94fdf50b43f0659d48b,A,,background,weak,,none,
R00013658,e788793b92b50106e3ad4ef14e9ea193377dbdbb7957288ded25e79728d4c126,A,,background,weak,,none,
R00013659,196ef93aeb9a3c03ebabc68e9943b7b155bfe22f7d08cff503e566cd86cfd66a,A,,background,weak,,none,
R00013660,47577263e323475339c890da68842e86ccee58a9d3352c64ea373a38b897eeff,A,,background,weak,,none,
R00013661,380bb8c8d378e83e84651ee7428bc1267aa66a0d8f613534f052baf7528f882c,A,,background,weak,,none,
R00013662,08549196518fe096cae868a930d6424638d5a2a013154021c0e165ac62dd2831,A,,background,weak,,none,
R00013663,ecbf8d9c0324d6b1f17b004a5809447985e5b8bf36c0646b71b4983211eadb26,A,,background,weak,,none,
R00013664,e6143b0a873f40bedda902789537bb8e9f5255df308ae087205a8fee08d04bed,A,,background,weak,,none,
R00013665,5b7c67495a2e7a22e65f271841708a77d703d3d15f96642e3b0266079b5ba5e3,A,,background,weak,,none,
R00013666,2b0f2ed536be790a3fcf2249c675b78950299e38b8704c493dcb73976c2ec0eb,A,,background,weak,,none,
R00013667,156f804681e91fc773215118184cc2174b078e74572d9b43361628e7172d83ca,A,,background,weak,,none,
R00013668,f68ceb928bf2da1b686914c2fcc52d60cb7023338edb864e7c39d2223d20543e,A,,background,weak,,none,
R00013669,778ade7139d68ef4dc0c73baca6cf0c5b2c12b922f8f38935695a940e18c474b,A,,background,weak,,none,
R00013670,453f870d01d08491010699bcca7cdb26287e8619e03cc406cffde3dd72c65aad,E,E-03,scenario_core,strong,"graph,flow",fan_in,
R00013671,09fcb3e1553add3a7bdce7f99e3b30469d1b4888e6072f9f4863c4ac4b5317c4,A,,background,weak,,none,
R00013672,c26a31baa89a36e1f0acca5d61acfbe31cb14e314af8612a922e6aeb9e17f099,A,,background,weak,,none,
R00013673,466e36d007e2491b2fcf814d25c717c1ee14d586226faf65726eddc7a2619655,A,,background,weak,,none,
R00013674,75346f0e8b1f3f57b63a433b5ff588d0db47d9eb60a04a9af8623e4c6bddb44d,A,,background,weak,,none,
R00013675,e98bd861dc32889490827d0776f46ac3239b6c3b160f7c712b6145123223bfa7,A,,background,weak,,none,
R00013676,1f60a117c2378e87b1bca7b8221bd9fe8846873de6a68433d1224d9680bf5f59,A,,background,weak,,none,
R00013677,b1e72c284f07677331835f84e443c6294bfff29166f0843ab1023e50bb7fdc95,A,,background,weak,,none,
R00013678,ae5456f5c7f52b8d37285d3959c84e4a3f6545440f786c77d6337176997b7600,A,,background,weak,,none,
R00013679,bee3b4ccb8aa0e56168a345acee15a688178f118c740b73ce90628c33c98f0d8,A,,background,weak,,none,
R00013680,400502612e5d3307f806dc9bade3d77b401f6fbb52a2f6e18e9b2bfe6b90eca8,A,,background,weak,,none,
R00013681,2c77a7ebd3646d0e5847333df6f1f73f2ddc15d29686192d7534a955cd05b94f,A,,background,weak,,none,
R00013682,98e71b05487d578a76b63b2a5b4cba097315e608a1cd98f7561b13e900ff4afd,A,,background,weak,,none,
R00013683,0243ee3341b6895c17a31ba29f9d9bf63de2ef343d92798fd1b1dc746daead18,A,,background,weak,,none,
R00013684,9fbb6239da143870913f8209c1723f5bd4621d21d27dfd6cec2af106eed6aba9,A,,background,weak,,none,
R00013685,a7928e2a6c7fd7b0696cd8ab66e42da7852af2ceefa4d296ec17e133f14c4ff8,A,,background,weak,,none,
R00013686,16d10c3edc52ee537e343d0b6c3950ad0a81dd807b97b0f543ed7ec6e0d6ae9d,A,,background,weak,,none,
R00013687,ebee4a29344ae17c4d1926bc2ca21acd2c7ae5e75e5a7cb7f4a7e49b5c9594fb,A,,background,weak,,none,
